Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,Aktivitas aplikasi/Aplikasi terinstal
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,Aktivitas aplikasi/Konten buatan pengguna lainnya
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,Aktivitas aplikasi/Tindakan lainnya
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,ID perangkat atau lainnya/ID perangkat atau lainnya
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Nama)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Nama)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Nama)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Nama)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Nama)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Nama)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Nama)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Nama)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Nama)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Nama)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
